NAME                           	ID          	SIZE  	MODIFIED       
DeepSeek-Coder:latest          	6aff314e01c3	4.1 GB	3 weeks ago   	
Jim:latest                     	2c7476fb37de	3.8 GB	4 weeks ago   	
Mario:latest                   	902e3a8e5ed7	3.8 GB	4 weeks ago   	
MrT:latest                     	7c19b0847fb4	3.8 GB	4 weeks ago   	
Polly:latest                   	19982222ada1	4.1 GB	4 weeks ago   	
Sally:latest                   	903b51bbe623	3.8 GB	13 hours ago  	
Ted:latest                     	aebf42abd326	7.4 GB	4 weeks ago   	
alfred:latest                  	e46325710c52	23 GB 	2 weeks ago   	
bakllava:latest                	3dd68bd4447c	4.7 GB	56 minutes ago	
codebooga:latest               	05b83c5673dc	19 GB 	4 weeks ago   	
codellama:latest               	8fdf8f752f6e	3.8 GB	2 weeks ago   	
codeup:latest                  	54289661f7a9	7.4 GB	4 weeks ago   	
deepseek-coder:33b             	2941d6ab92f3	18 GB 	2 weeks ago   	
deepseek-coder:latest          	140a485970a6	776 MB	7 days ago    	
everythinglm:latest            	bf6610a21b1e	7.4 GB	4 weeks ago   	
falcon:180b                    	e2bc879d7cee	101 GB	3 weeks ago   	
falcon:latest                  	4280f7257e73	4.2 GB	4 weeks ago   	
llama2:latest                  	fe938a131f40	3.8 GB	4 weeks ago   	
llama2-uncensored:latest       	44040b922233	3.8 GB	2 weeks ago   	
llava:latest                   	e4c3eb471fd8	4.5 GB	12 hours ago  	
magicoder:latest               	8007de06f5d9	3.8 GB	8 days ago    	
meditron:latest                	ad11a6250f54	3.8 GB	8 days ago    	
medllama2:latest               	a53737ec0c72	3.8 GB	4 weeks ago   	
mistral:7b                     	d364aa8d131e	4.1 GB	4 weeks ago   	
mistral:instruct               	8aa307f73b26	4.1 GB	2 months ago  	
mistral:latest                 	8aa307f73b26	4.1 GB	2 months ago  	
mistral:text                   	3e3d0b9dcb6a	4.1 GB	4 weeks ago   	
mistrallite:latest             	5393d4f5f262	4.1 GB	4 weeks ago   	
neural-chat:latest             	f4c6a8e532e8	4.1 GB	7 days ago    	
nexusraven:latest              	336957c1d527	7.4 GB	4 weeks ago   	
openhermes2.5-mistral:latest   	ca4cd4e8a562	4.1 GB	4 weeks ago   	
orca2:13b                      	a8dcfac3ac32	7.4 GB	2 weeks ago   	
orca2:latest                   	ea98cc422de3	3.8 GB	7 days ago    	
phind-codellama:latest         	64cce35068a2	19 GB 	4 weeks ago   	
samantha-mistral:latest        	f7c8c9be1da0	4.1 GB	4 weeks ago   	
sqlcoder:latest                	77ac14348387	4.1 GB	4 weeks ago   	
stablelm-zephyr:latest         	7c596e78b1fc	1.6 GB	6 days ago    	
starcoder:latest               	847e5a7aa26f	1.8 GB	4 weeks ago   	
starling-lm:latest             	0eab7e16513a	4.1 GB	2 weeks ago   	
wizard-math:70b                	78a12f5c753b	38 GB 	4 weeks ago   	
wizard-math:latest             	9c8843a9e4f1	3.8 GB	7 days ago    	
wizard-vicuna-uncensored:7b    	72fc3c2b99dc	3.8 GB	23 hours ago  	
wizard-vicuna-uncensored:latest	72fc3c2b99dc	3.8 GB	4 weeks ago   	
wizardlm-uncensored:latest     	886a369d74fc	7.4 GB	4 days ago    	
xwinlm:latest                  	0fa68068d970	3.8 GB	4 weeks ago   	
yarn-mistral:latest            	8e9c368a0ae4	4.1 GB	46 minutes ago	
yi:latest                      	59e2d70c6939	3.5 GB	24 hours ago  	
zephyr:latest                  	1629f2a8a495	4.1 GB	4 weeks ago   	
